dataMatrix	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35
M29	5.50011403	5.890640537	6.027244893	5.652079383	5.314487524	5.593687752	6.197848714	6.002628286	6.032825788	6.075275699	4.851492913	5.202018517	5.115838804	4.58827406	5.084339873	5.550703959	5.369969027	5.53652007	5.285176213	5.611694723	5.494227498	5.425903493	4.954307345	4.905776125	5.341311404	5.270615105	5.661133313	5.418818036	5.274778974	5.887253842	5.912348872	5.423629964	5.406240194	5.631031044	5.565214119
M30	7.572783905	6.494220913	6.531430188	7.848662505	7.895631926	7.04587611	6.673771059	6.525412376	6.851043086	6.829804634	7.16845765	8.144666653	6.93330929	6.989842933	7.256712249	7.766676327	6.776880648	6.827794527	6.834512191	6.09167696	6.42041613	7.429010636	7.061369849	7.877946108	7.265606394	7.362408861	6.652672846	8.220108088	8.171166381	6.442018845	6.401918338	6.666272772	8.116455865	7.748976747	6.032060453
M32	6.332773296	5.948965763	5.376784425	6.867553324	6.568303698	6.333334912	5.641816312	5.90814129	6.11349833	6.186474229	6.613278452	6.559100985	6.703789779	6.116491453	5.917190512	6.351158235	5.963883907	5.899022651	6.403224101	5.813891046	6.153204247	5.739507715	5.554798237	6.635879669	5.752173178	6.269783126	5.668128998	6.931118269	6.715836204	5.820346655	5.991230124	6.191791377	6.558916535	6.61051688	5.927165555
M33	7.69367998	7.784857839	7.726522628	7.733860209	7.763220181	8.056523348	7.844772539	7.442993868	7.689434939	7.703325757	8.015990734	7.888485712	7.932063209	7.934934618	7.77501817	7.980853822	7.920516257	8.017195243	7.962610186	7.328214131	7.533089518	7.718270557	7.726364476	7.85780241	7.297350806	7.822127371	7.591019557	7.701393137	7.726553167	7.47821266	7.643454848	7.297995753	7.622314194	7.579836305	7.477088312
M34	7.382250587	7.139406508	7.857511331	7.462845608	7.306267193	7.905483468	7.606825039	7.328366468	7.685564596	7.366768198	7.40473986	7.192461575	7.135782013	7.344862948	7.11136558	7.526066045	7.697329368	7.28080126	7.616010849	7.382009099	6.889975659	7.855906176	7.450949473	7.182137597	7.571794326	7.379678833	7.374171777	7.375554356	6.940575877	6.641421431	7.238970029	7.901092855	7.058088578	7.661570462	7.096474248
M35	7.382251907	7.139407828	7.857512652	7.462846928	7.306268513	7.905484788	7.606826359	7.328367788	7.685565916	7.366769518	7.40474118	7.192462895	7.135783334	7.344864268	7.1113669	7.526067366	7.697330688	7.28080258	7.61601217	7.382010419	6.889976979	7.855883592	7.450950793	7.182138917	7.571507872	7.379680153	7.374173097	7.375555676	6.940577197	6.641422751	7.238971349	7.901094175	7.058089898	7.661571782	7.096475568
M36	6.597718851	5.914934887	6.653274158	6.231061807	6.283036446	6.977458858	6.571754927	6.228298273	6.791290327	6.183203772	6.675141194	6.463634746	6.196730784	6.414369187	5.990801383	6.648467564	6.663049631	5.796284059	6.632299947	6.486838542	6.00645214	6.576534143	6.156730995	6.398710586	6.508012496	6.518695944	6.248916334	6.362549473	5.852178879	5.139848505	5.998432532	6.622231289	5.355974331	6.410890692	5.547039643
M37	7.517711463	6.719156754	7.494683249	7.358768868	7.246093342	7.790902537	7.251198609	7.033187743	7.535256247	7.039045313	7.607219313	7.384771556	7.294734178	7.564500228	7.046423508	7.547932189	7.545035416	7.211139778	7.569731041	7.233193188	6.545060953	7.630629003	7.492139968	7.409746618	7.466724933	7.537362236	7.152982131	7.397679384	6.976733255	6.181897021	6.901433163	7.873541294	7.024038446	7.494279637	6.814561346
M38	7.098829874	5.462550025	6.444675168	6.244562201	6.649678903	6.987536291	6.39635912	6.063376662	6.696378116	6.135378584	6.793197052	6.766025692	6.590181173	6.598507823	6.28175532	6.74897065	5.834362392	5.406252869	6.147082152	5.814385133	0	5.415091837	5.946751302	5.879687421	0	6.013571264	5.308490425	6.597863245	6.344562629	0	5.314888095	6.377640568	6.000588459	6.194699063	0
M39	6.696602285	6.066928872	6.681310082	6.360248916	6.414273317	6.830720049	6.588136911	6.284742456	6.810881097	6.394460364	6.652164155	6.323559536	6.282455568	6.481526786	6.133278716	6.610992289	6.690703973	6.044391903	6.683307372	5.956826673	5.411191543	6.709580168	6.371590234	6.144851121	6.396748445	6.474421907	6.345913497	6.393524146	5.947589416	0	5.92884528	6.714303086	5.614917515	6.398675056	5.550485315
M40	6.696602285	6.066928872	6.681310082	6.360248916	6.414273317	6.830720049	6.588136911	6.284742456	6.810881097	6.394460364	6.652164155	6.323559536	6.282455568	6.481526786	6.133278716	6.610992289	6.690703973	6.044391903	6.683307372	5.956826673	5.411191543	6.709580168	6.371590234	6.144851121	6.396748445	6.474421907	6.345913497	6.393524146	5.947589416	0	5.92884528	6.714303086	5.614917515	6.398675056	5.550485315
M41	7.572783905	6.494220913	6.531430188	7.848662505	7.895631926	7.04587611	6.673771059	6.525412376	6.851043086	6.829804634	7.16845765	8.144666653	6.93330929	6.989842933	7.256712249	7.766676327	6.776880648	6.827794527	6.834512191	6.09167696	6.42041613	7.429010636	7.061369849	7.877946108	7.265606394	7.362408861	6.652672846	8.220108088	8.171166381	6.442018845	6.401918338	6.666272772	8.116455865	7.748976747	6.032060453
